Name;Smiles;Inchi;CasRN;MeltingPoint;BoilingPoint;WaterSolubility_mg_mL;LogP;Ref;ppm_exp;n_peaks_exp;multiplicity_exp;n_Hs_exp;atom_number_exp;peak_centers_exp;ExperimentalConditions;ppm_pred;n_peaks_pred;multiplicity_pred;n_Hs_pred;atom_number_pred;peak_centers_pred;predCondition
TG(14:0/i-17:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C48H92O6/c1-6-7-8-9-10-11-13-17-23-28-33-38-46(49)52-41-45(42-53-47(50)39-34-29-24-20-19-22-27-32-37-44(4)5)54-48(51)40-35-30-25-18-15-12-14-16-21-26-31-36-43(2)3/h43-45H,6-42H2,1-5H3/t45-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100015;;;;;;;;;;;;;;
TG(i-14:0/17:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C48H92O6/c1-5-7-9-11-13-15-17-18-19-21-23-29-33-37-41-48(51)54-45(42-52-46(49)39-35-31-27-22-20-16-14-12-10-8-6-2)43-53-47(50)40-36-32-28-25-24-26-30-34-38-44(3)4/h44-45H,5-43H2,1-4H3/t45-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100017;;;;;;;;;;;;;;
TG(14:0/a-17:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-6-9-10-11-12-13-14-18-24-29-34-39-47(50)53-42-46(43-54-48(51)40-35-30-25-21-20-23-28-33-38-45(5)8-3)55-49(52)41-36-31-26-19-16-15-17-22-27-32-37-44(4)7-2/h44-46H,6-43H2,1-5H3/t44?,45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100019;;;;;;;;;;;;;;
TG(i-14:0/a-17:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-7-44(5)36-30-24-18-11-9-10-12-22-28-34-40-49(52)55-46(41-53-47(50)38-32-26-20-15-13-17-23-29-35-43(3)4)42-54-48(51)39-33-27-21-16-14-19-25-31-37-45(6)8-2/h43-46H,7-42H2,1-6H3/t44?,45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100020;;;;;;;;;;;;;;
TG(i-14:0/a-17:0/i-15:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-7-45(6)37-31-25-19-12-8-9-13-22-28-34-40-49(52)55-46(42-54-48(51)39-33-27-21-16-15-18-24-30-36-44(4)5)41-53-47(50)38-32-26-20-14-10-11-17-23-29-35-43(2)3/h43-46H,7-42H2,1-6H3/t45?,46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100021;;;;;;;;;;;;;;
TG(i-14:0/a-17:0/15:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-13-14-18-24-29-34-39-47(50)53-42-46(43-54-48(51)40-35-30-25-21-20-22-27-32-37-44(3)4)55-49(52)41-36-31-26-19-16-15-17-23-28-33-38-45(5)7-2/h44-46H,6-43H2,1-5H3/t45?,46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100023;;;;;;;;;;;;;;
TG(14:0/a-17:0/i-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-13-19-24-29-34-39-47(50)53-42-46(43-54-48(51)40-35-30-25-21-16-17-22-27-32-37-44(3)4)55-49(52)41-36-31-26-20-15-14-18-23-28-33-38-45(5)7-2/h44-46H,6-43H2,1-5H3/t45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100024;;;;;;;;;;;;;;
TG(14:0/i-17:0/15:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C49H94O6/c1-5-7-9-11-13-15-17-21-25-29-33-37-41-48(51)54-44-46(43-53-47(50)40-36-32-28-24-19-16-14-12-10-8-6-2)55-49(52)42-38-34-30-26-22-18-20-23-27-31-35-39-45(3)4/h45-46H,5-44H2,1-4H3/t46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100025;;;;;;;;;;;;;;
TG(i-14:0/17:0/i-15:0);[H][C@@](COC(=O)CCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-6-7-8-9-10-11-12-13-14-15-18-26-31-36-41-49(52)55-46(43-54-48(51)40-35-30-25-21-20-23-28-33-38-45(4)5)42-53-47(50)39-34-29-24-19-16-17-22-27-32-37-44(2)3/h44-46H,6-43H2,1-5H3/t46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100026;;;;;;;;;;;;;;
TG(14:0/i-17:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-14-18-24-29-34-39-47(50)53-42-46(43-54-48(51)40-35-30-25-21-20-23-28-33-38-45(5)7-2)55-49(52)41-36-31-26-19-16-13-15-17-22-27-32-37-44(3)4/h44-46H,6-43H2,1-5H3/t45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100028;;;;;;;;;;;;;;
TG(i-14:0/17:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-6-8-9-10-11-12-13-14-15-16-17-26-31-36-41-49(52)55-46(42-53-47(50)39-34-29-24-20-18-22-27-32-37-44(3)4)43-54-48(51)40-35-30-25-21-19-23-28-33-38-45(5)7-2/h44-46H,6-43H2,1-5H3/t45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100031;;;;;;;;;;;;;;
TG(i-14:0/i-17:0/i-15:0);[H][C@@](COC(=O)CCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C49H94O6/c1-43(2)35-29-23-17-11-8-7-9-13-22-28-34-40-49(52)55-46(42-54-48(51)39-33-27-21-16-15-19-25-31-37-45(5)6)41-53-47(50)38-32-26-20-14-10-12-18-24-30-36-44(3)4/h43-46H,7-42H2,1-6H3/t46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100032;;;;;;;;;;;;;;
TG(i-14:0/17:0/15:0);[H][C@@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-5-7-9-11-13-15-17-19-20-22-24-30-34-38-42-49(52)55-46(44-54-48(51)41-37-33-29-26-25-27-31-35-39-45(3)4)43-53-47(50)40-36-32-28-23-21-18-16-14-12-10-8-6-2/h45-46H,5-44H2,1-4H3/t46-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100033;;;;;;;;;;;;;;
TG(14:0/17:0/15:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-4-7-10-13-16-19-22-24-25-28-31-34-37-40-43-49(52)55-46(44-53-47(50)41-38-35-32-29-26-21-18-15-12-9-6-3)45-54-48(51)42-39-36-33-30-27-23-20-17-14-11-8-5-2/h46H,4-45H2,1-3H3/t46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100034;;;;;;;;;;;;;;
TG(14:0/17:0/i-15:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-5-7-9-11-13-15-17-18-19-21-25-30-34-38-42-49(52)55-46(43-53-47(50)40-36-32-28-24-20-16-14-12-10-8-6-2)44-54-48(51)41-37-33-29-26-22-23-27-31-35-39-45(3)4/h45-46H,5-44H2,1-4H3/t46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100035;;;;;;;;;;;;;;
TG(14:0/17:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C49H94O6/c1-5-8-10-12-14-16-18-19-20-22-24-30-34-38-42-49(52)55-46(43-53-47(50)40-36-32-28-23-21-17-15-13-11-9-6-2)44-54-48(51)41-37-33-29-26-25-27-31-35-39-45(4)7-3/h45-46H,5-44H2,1-4H3/t45?,46-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100036;;;;;;;;;;;;;;
TG(14:0/a-17:0/16:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C50H96O6/c1-5-8-10-12-14-16-18-19-21-26-30-34-38-42-49(52)55-45-47(44-54-48(51)41-37-33-29-25-20-17-15-13-11-9-6-2)56-50(53)43-39-35-31-27-23-22-24-28-32-36-40-46(4)7-3/h46-47H,5-45H2,1-4H3/t46?,47-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100038;;;;;;;;;;;;;;
TG(14:0/a-17:0/i-16:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C50H96O6/c1-6-8-9-10-11-12-13-20-25-30-35-40-48(51)54-43-47(44-55-49(52)41-36-31-26-21-16-14-18-23-28-33-38-45(3)4)56-50(53)42-37-32-27-22-17-15-19-24-29-34-39-46(5)7-2/h45-47H,6-44H2,1-5H3/t46?,47-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100040;;;;;;;;;;;;;;
TG(i-14:0/17:0/i-16:0);[H][C@@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C50H96O6/c1-6-7-8-9-10-11-12-13-14-15-20-27-32-37-42-50(53)56-47(44-55-49(52)41-36-31-26-22-21-24-29-34-39-46(4)5)43-54-48(51)40-35-30-25-19-17-16-18-23-28-33-38-45(2)3/h45-47H,6-44H2,1-5H3/t47-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100042;;;;;;;;;;;;;;
TG(14:0/i-17:0/i-16:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C50H96O6/c1-6-7-8-9-10-11-13-20-25-30-35-40-48(51)54-43-47(44-55-49(52)41-36-31-26-21-17-16-19-24-29-34-39-46(4)5)56-50(53)42-37-32-27-22-15-12-14-18-23-28-33-38-45(2)3/h45-47H,6-44H2,1-5H3/t47-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100043;;;;;;;;;;;;;;
TG(i-14:0/i-17:0/i-16:0);[H][C@@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C50H96O6/c1-44(2)36-30-24-18-12-8-7-9-15-23-29-35-41-50(53)56-47(43-55-49(52)40-34-28-22-17-16-20-26-32-38-46(5)6)42-54-48(51)39-33-27-21-14-11-10-13-19-25-31-37-45(3)4/h44-47H,7-43H2,1-6H3/t47-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100045;;;;;;;;;;;;;;
TG(14:0/17:0/i-16:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCC;InChI=1S/C50H96O6/c1-5-7-9-11-13-15-17-18-19-21-27-31-35-39-43-50(53)56-47(44-54-48(51)41-37-33-29-25-20-16-14-12-10-8-6-2)45-55-49(52)42-38-34-30-26-23-22-24-28-32-36-40-46(3)4/h46-47H,5-45H2,1-4H3/t47-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100048;;;;;;;;;;;;;;
TG(i-14:0/a-17:0/a-17:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C51H98O6/c1-7-46(5)38-32-26-20-13-9-11-15-22-28-34-40-49(52)55-43-48(44-56-50(53)41-35-29-23-18-17-19-25-31-37-45(3)4)57-51(54)42-36-30-24-16-12-10-14-21-27-33-39-47(6)8-2/h45-48H,7-44H2,1-6H3/t46?,47?,48-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100050;;;;;;;;;;;;;;
TG(i-14:0/a-17:0/i-17:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C51H98O6/c1-7-47(6)39-33-27-21-14-11-12-16-24-30-36-42-51(54)57-48(44-56-50(53)41-35-29-23-18-17-20-26-32-38-46(4)5)43-55-49(52)40-34-28-22-15-10-8-9-13-19-25-31-37-45(2)3/h45-48H,7-44H2,1-6H3/t47?,48-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100051;;;;;;;;;;;;;;
TG(14:0/a-17:0/17:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C51H98O6/c1-5-8-10-12-14-16-18-19-20-22-27-31-35-39-43-50(53)56-46-48(45-55-49(52)42-38-34-30-26-21-17-15-13-11-9-6-2)57-51(54)44-40-36-32-28-24-23-25-29-33-37-41-47(4)7-3/h47-48H,5-46H2,1-4H3/t47?,48-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100052;;;;;;;;;;;;;;
TG(14:0/a-17:0/i-17:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)CC;InChI=1S/C51H98O6/c1-6-8-9-10-11-12-14-21-26-31-36-41-49(52)55-44-48(57-51(54)43-38-33-28-23-18-17-20-25-30-35-40-47(5)7-2)45-56-50(53)42-37-32-27-22-16-13-15-19-24-29-34-39-46(3)4/h46-48H,6-45H2,1-5H3/t47?,48-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100054;;;;;;;;;;;;;;
TG(14:0/i-17:0/17:0);[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC(C)C;InChI=1S/C51H98O6/c1-5-7-9-11-13-15-17-18-19-23-27-31-35-39-43-50(53)56-46-48(45-55-49(52)42-38-34-30-26-21-16-14-12-10-8-6-2)57-51(54)44-40-36-32-28-24-20-22-25-29-33-37-41-47(3)4/h47-48H,5-46H2,1-4H3/t48-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0100055;;;;;;;;;;;;;;
