Name;Smiles;Inchi;CasRN;MeltingPoint;BoilingPoint;WaterSolubility_mg_mL;LogP;Ref;ppm_exp;n_peaks_exp;multiplicity_exp;n_Hs_exp;atom_number_exp;peak_centers_exp;ExperimentalConditions;ppm_pred;n_peaks_pred;multiplicity_pred;n_Hs_pred;atom_number_pred;peak_centers_pred;predCondition
TG(i-16:0/a-13:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C45H86O6/c1-7-41(6)33-27-21-17-18-24-30-36-45(48)51-42(38-50-44(47)35-29-23-16-12-14-20-26-32-40(4)5)37-49-43(46)34-28-22-15-11-9-8-10-13-19-25-31-39(2)3/h39-42H,7-38H2,1-6H3/t41?,42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103738;;;;;;;;;;;;;;
TG(16:0/a-13:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C45H86O6/c1-5-8-10-12-14-16-18-19-20-22-24-29-33-37-44(47)50-40-42(51-45(48)38-34-30-26-25-27-31-35-41(4)7-3)39-49-43(46)36-32-28-23-21-17-15-13-11-9-6-2/h41-42H,5-40H2,1-4H3/t41?,42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103739;;;;;;;;;;;;;;
TG(i-16:0/a-13:0/13:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C45H86O6/c1-6-8-9-10-11-12-16-19-25-30-35-43(46)49-38-42(51-45(48)37-32-27-22-21-24-29-34-41(5)7-2)39-50-44(47)36-31-26-20-17-14-13-15-18-23-28-33-40(3)4/h40-42H,6-39H2,1-5H3/t41?,42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103740;;;;;;;;;;;;;;
TG(16:0/a-13:0/i-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C45H86O6/c1-6-8-9-10-11-12-13-14-15-16-19-25-30-35-43(46)49-38-42(51-45(48)37-32-27-22-21-24-29-34-41(5)7-2)39-50-44(47)36-31-26-20-17-18-23-28-33-40(3)4/h40-42H,6-39H2,1-5H3/t41?,42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103741;;;;;;;;;;;;;;
TG(16:0/i-13:0/13:0);[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C45H86O6/c1-5-7-9-11-13-15-17-18-19-21-25-29-33-37-44(47)50-40-42(51-45(48)38-34-30-26-22-23-27-31-35-41(3)4)39-49-43(46)36-32-28-24-20-16-14-12-10-8-6-2/h41-42H,5-40H2,1-4H3/t42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103742;;;;;;;;;;;;;;
TG(i-16:0/13:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C45H86O6/c1-6-7-8-9-10-11-15-21-27-32-37-45(48)51-42(39-50-44(47)36-31-26-22-17-19-24-29-34-41(4)5)38-49-43(46)35-30-25-20-16-13-12-14-18-23-28-33-40(2)3/h40-42H,6-39H2,1-5H3/t42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103743;;;;;;;;;;;;;;
TG(16:0/i-13:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C45H86O6/c1-6-7-8-9-10-11-12-13-14-15-20-25-30-35-43(46)49-38-42(51-45(48)37-32-27-22-17-19-24-29-34-41(4)5)39-50-44(47)36-31-26-21-16-18-23-28-33-40(2)3/h40-42H,6-39H2,1-5H3/t42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103746;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/13:0);[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C45H86O6/c1-6-7-8-9-10-11-15-20-25-30-35-43(46)49-38-42(51-45(48)37-32-27-22-17-19-24-29-34-41(4)5)39-50-44(47)36-31-26-21-16-13-12-14-18-23-28-33-40(2)3/h40-42H,6-39H2,1-5H3/t42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103747;;;;;;;;;;;;;;
TG(i-16:0/13:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC;InChI=1S/C45H86O6/c1-6-8-9-10-11-12-16-20-27-32-37-45(48)51-42(39-50-44(47)36-31-26-22-21-24-29-34-41(5)7-2)38-49-43(46)35-30-25-19-17-14-13-15-18-23-28-33-40(3)4/h40-42H,6-39H2,1-5H3/t41?,42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103748;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C45H86O6/c1-39(2)31-25-19-13-9-7-8-10-16-22-28-34-43(46)49-37-42(51-45(48)36-30-24-18-12-15-21-27-33-41(5)6)38-50-44(47)35-29-23-17-11-14-20-26-32-40(3)4/h39-42H,7-38H2,1-6H3/t42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103749;;;;;;;;;;;;;;
TG(i-16:0/13:0/13:0);[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C45H86O6/c1-5-7-9-11-13-15-20-24-28-32-36-43(46)49-39-42(51-45(48)38-34-30-26-21-16-14-12-10-8-6-2)40-50-44(47)37-33-29-25-22-18-17-19-23-27-31-35-41(3)4/h41-42H,5-40H2,1-4H3/t42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103750;;;;;;;;;;;;;;
TG(16:0/13:0/13:0);[H][C@@](COC(=O)CCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC;InChI=1S/C45H86O6/c1-4-7-10-13-16-19-22-23-24-27-29-32-35-38-44(47)50-41-42(51-45(48)39-36-33-30-26-21-18-15-12-9-6-3)40-49-43(46)37-34-31-28-25-20-17-14-11-8-5-2/h42H,4-41H2,1-3H3/t42-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103751;;;;;;;;;;;;;;
TG(16:0/13:0/i-13:0);[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C45H86O6/c1-5-7-9-11-13-15-17-18-19-21-24-28-32-36-43(46)49-39-42(51-45(48)38-34-30-25-20-16-14-12-10-8-6-2)40-50-44(47)37-33-29-26-22-23-27-31-35-41(3)4/h41-42H,5-40H2,1-4H3/t42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103752;;;;;;;;;;;;;;
TG(16:0/13:0/a-13:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCC;InChI=1S/C45H86O6/c1-5-8-10-12-14-16-18-19-20-22-23-28-32-36-43(46)49-39-42(51-45(48)38-34-30-24-21-17-15-13-11-9-6-2)40-50-44(47)37-33-29-26-25-27-31-35-41(4)7-3/h41-42H,5-40H2,1-4H3/t41?,42-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103753;;;;;;;;;;;;;;
TG(16:0/a-13:0/14:0)[rac];[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C46H88O6/c1-5-8-10-12-14-16-18-19-21-23-25-30-34-38-45(48)51-41-43(52-46(49)39-35-31-27-26-28-32-36-42(4)7-3)40-50-44(47)37-33-29-24-22-20-17-15-13-11-9-6-2/h42-43H,5-41H2,1-4H3/t42?,43-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103755;;;;;;;;;;;;;;
TG(16:0/i-13:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C46H88O6/c1-5-7-9-11-13-15-17-18-20-22-26-30-34-38-45(48)51-41-43(52-46(49)39-35-31-27-23-24-28-32-36-42(3)4)40-50-44(47)37-33-29-25-21-19-16-14-12-10-8-6-2/h42-43H,5-41H2,1-4H3/t43-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103758;;;;;;;;;;;;;;
TG(i-16:0/13:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C46H88O6/c1-6-7-8-9-10-11-15-23-28-33-38-46(49)52-43(40-51-45(48)37-32-27-22-18-17-20-25-30-35-42(4)5)39-50-44(47)36-31-26-21-16-13-12-14-19-24-29-34-41(2)3/h41-43H,6-40H2,1-5H3/t43-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103759;;;;;;;;;;;;;;
TG(16:0/i-13:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C46H88O6/c1-6-7-8-9-10-11-12-13-14-15-21-26-31-36-44(47)50-39-43(52-46(49)38-33-28-23-18-20-25-30-35-42(4)5)40-51-45(48)37-32-27-22-17-16-19-24-29-34-41(2)3/h41-43H,6-40H2,1-5H3/t43-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103760;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C46H88O6/c1-6-7-8-9-10-11-12-16-21-26-31-36-44(47)50-39-43(52-46(49)38-33-28-23-18-20-25-30-35-42(4)5)40-51-45(48)37-32-27-22-17-14-13-15-19-24-29-34-41(2)3/h41-43H,6-40H2,1-5H3/t43-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103761;;;;;;;;;;;;;;
TG(i-16:0/i-13:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCC(C)C;InChI=1S/C46H88O6/c1-40(2)32-26-20-14-9-7-8-10-17-23-29-35-44(47)50-38-43(52-46(49)37-31-25-19-13-16-22-28-34-42(5)6)39-51-45(48)36-30-24-18-12-11-15-21-27-33-41(3)4/h40-43H,7-39H2,1-6H3/t43-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103762;;;;;;;;;;;;;;
TG(i-16:0/13:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C46H88O6/c1-5-7-9-11-13-15-17-22-25-29-33-37-44(47)50-40-43(52-46(49)39-35-31-27-21-16-14-12-10-8-6-2)41-51-45(48)38-34-30-26-23-19-18-20-24-28-32-36-42(3)4/h42-43H,5-41H2,1-4H3/t43-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103763;;;;;;;;;;;;;;
TG(16:0/13:0/14:0);[H][C@@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC;InChI=1S/C46H88O6/c1-4-7-10-13-16-19-22-23-25-28-30-33-36-39-45(48)51-42-43(52-46(49)40-37-34-31-26-21-18-15-12-9-6-3)41-50-44(47)38-35-32-29-27-24-20-17-14-11-8-5-2/h43H,4-42H2,1-3H3/t43-/m1/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103764;;;;;;;;;;;;;;
TG(16:0/13:0/i-14:0);[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC;InChI=1S/C46H88O6/c1-5-7-9-11-13-15-17-18-19-21-25-29-33-37-44(47)50-40-43(52-46(49)39-35-31-27-20-16-14-12-10-8-6-2)41-51-45(48)38-34-30-26-23-22-24-28-32-36-42(3)4/h42-43H,5-41H2,1-4H3/t43-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103765;;;;;;;;;;;;;;
TG(16:0/a-13:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-6-9-10-11-12-13-14-15-16-17-21-27-32-37-45(48)51-40-44(53-47(50)39-34-29-24-23-26-31-36-43(5)8-3)41-52-46(49)38-33-28-22-19-18-20-25-30-35-42(4)7-2/h42-44H,6-41H2,1-5H3/t42?,43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103766;;;;;;;;;;;;;;
TG(i-16:0/a-13:0/a-15:0)[rac];[H][C@](COC(=O)CCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCC(C)CC;InChI=1S/C47H90O6/c1-7-42(5)34-28-22-16-13-14-18-25-31-37-46(49)52-40-44(53-47(50)38-32-26-20-19-23-29-35-43(6)8-2)39-51-45(48)36-30-24-17-12-10-9-11-15-21-27-33-41(3)4/h41-44H,7-40H2,1-6H3/t42?,43?,44-/m0/s1;Not Available;Not Available;Not Available;Not Available;Not Available;https://hmdb.ca/metabolites/HMDB0103767;;;;;;;;;;;;;;
